id,predict_time,category,flag,ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper
123,2021-06-30,population,1000 persons,2019-12-31,31773.466425543700,16501.426700114695,46453.068451709725,40233.937766610055,40233.937385207835,40233.938481952800,-8460.471341066357,-8460.471341066357,-8460.471341066357,-8460.47134106636,-8460.47134106636,-8460.47134106636,0,0,0
124,2021-06-30,population,1000 persons,2020-12-31,32034.357434381855,17215.354416357568,47398.661668175840,40423.490077661714,40423.486573670200,40423.494000849180,-8389.132643279858,-8389.132643279858,-8389.132643279858,-8389.13264327986,-8389.13264327986,-8389.13264327986,0,0,0
125,2021-06-30,population,1000 persons,2021-12-31,32193.618105092573,15210.848869854277,47293.087235265440,40612.524486224170,40612.516973225910,40612.532767555550,-8418.906381131594,-8418.906381131594,-8418.906381131594,-8418.90638113159,-8418.90638113159,-8418.90638113159,0,0,0
126,2021-06-30,consumer_price_analysis,ec,2006-01-01,36.632912454803,2.960768040312,71.919832990453,34.209972652274,34.209972652274,34.209972652274,2.422939802529,2.422939802529,2.422939802529,2.42293980252872,2.42293980252872,2.42293980252872,0,0,0
127,2021-06-30,consumer_price_analysis,ec,2006-01-08,37.226599763162,1.446428992865,70.729035377471,34.291839726753,34.291839726753,34.291839726753,2.934760036409,2.934760036409,2.934760036409,2.93476003640913,2.93476003640913,2.93476003640913,0,0,0
128,2021-06-30,consumer_price_analysis,ec,2006-01-15,39.426337712097,5.778241816248,74.703849012667,34.373706801231,34.373706801231,34.373706801231,5.052630910866,5.052630910866,5.052630910866,5.05263091086585,5.05263091086585,5.05263091086585,0,0,0
129,2021-06-30,consumer_price_analysis,ec,2006-01-22,40.437113446568,5.070149412672,77.310352598079,34.455573875709,34.455573875709,34.455573875709,5.981539570859,5.981539570859,5.981539570859,5.98153957085863,5.98153957085863,5.98153957085863,0,0,0
130,2021-06-30,consumer_price_analysis,ec,2006-01-29,39.490934370301,4.178843179940,74.155685840804,34.537440950188,34.537440950188,34.537440950188,4.953493420113,4.953493420113,4.953493420113,4.95349342011305,4.95349342011305,4.95349342011305,0,0,0
131,2021-06-30,consumer_price_analysis,ec,2006-02-05,37.614011666616,4.926210959451,70.067444015584,34.619308024666,34.619308024666,34.619308024666,2.994703641950,2.994703641950,2.994703641950,2.99470364194992,2.99470364194992,2.99470364194992,0,0,0
132,2021-06-30,consumer_price_analysis,ec,2006-02-12,35.853031387730,4.104891512706,73.516303783889,34.701175099145,34.701175099145,34.701175099145,1.151856288585,1.151856288585,1.151856288585,1.15185628858506,1.15185628858506,1.15185628858506,0,0,0
133,2021-06-30,consumer_price_analysis,ec,2006-02-19,34.594299610139,-1.300035436412,65.535410606963,34.783042173623,34.783042173623,34.783042173623,-0.188742563484,-0.188742563484,-0.188742563484,-0.188742563483954,-0.188742563483954,-0.188742563483954,0,0,0
134,2021-06-30,consumer_price_analysis,ec,2006-02-26,34.408343724703,-0.816562898430,71.883185237224,34.864909248102,34.864909248102,34.864909248102,-0.456565523398,-0.456565523398,-0.456565523398,-0.456565523398476,-0.456565523398476,-0.456565523398476,0,0,0
135,2021-06-30,consumer_price_analysis,ec,2006-03-05,36.375139575327,2.007932405193,70.782037512815,34.946776322580,34.946776322580,34.946776322580,1.428363252747,1.428363252747,1.428363252747,1.42836325274651,1.42836325274651,1.42836325274651,0,0,0
136,2021-06-30,consumer_price_analysis,ec,2006-03-12,40.618418765095,6.671444982877,76.173725246461,35.028643397059,35.028643397059,35.028643397059,5.589775368036,5.589775368036,5.589775368036,5.58977536803599,5.58977536803599,5.58977536803599,0,0,0
137,2021-06-30,consumer_price_analysis,ec,2006-03-19,44.751948025338,9.627910794723,80.652903408223,35.110510471537,35.110510471537,35.110510471537,9.641437553800,9.641437553800,9.641437553800,9.64143755380047,9.64143755380047,9.64143755380047,0,0,0
138,2021-06-30,consumer_price_analysis,ec,2006-03-26,44.883982573522,9.320852871871,78.341976592730,35.192377546015,35.192377546015,35.192377546015,9.691605027506,9.691605027506,9.691605027506,9.69160502750621,9.69160502750621,9.69160502750621,0,0,0
139,2021-06-30,consumer_price_analysis,ec,2006-04-02,39.016367140357,2.705074726555,72.500413189594,35.274244620494,35.274244620494,35.274244620494,3.742122519863,3.742122519863,3.742122519863,3.74212251986282,3.74212251986282,3.74212251986282,0,0,0
140,2021-06-30,consumer_price_analysis,ec,2006-04-09,29.424062913151,-4.734553212938,64.853104561062,35.356111694972,35.356111694972,35.356111694972,-5.932048781822,-5.932048781822,-5.932048781822,-5.93204878182157,-5.93204878182157,-5.93204878182157,0,0,0
141,2021-06-30,consumer_price_analysis,ec,2006-04-16,21.182458230988,-14.257915326990,56.545796820277,35.437978769451,35.437978769451,35.437978769451,-14.255520538463,-14.255520538463,-14.255520538463,-14.2555205384632,-14.2555205384632,-14.2555205384632,0,0,0
142,2021-06-30,consumer_price_analysis,ec,2006-04-23,18.106038921135,-16.691473668831,51.923731818457,35.519845843929,35.519845843929,35.519845843929,-17.413806922795,-17.413806922795,-17.413806922795,-17.4138069227947,-17.4138069227947,-17.4138069227947,0,0,0
143,2021-06-30,consumer_price_analysis,ec,2006-04-30,20.199204241718,-13.190356900208,54.454013780084,35.601712918408,35.601712918408,35.601712918408,-15.402508676689,-15.402508676689,-15.402508676689,-15.4025086766893,-15.4025086766893,-15.4025086766893,0,0,0
144,2021-06-30,consumer_price_analysis,ec,2006-05-07,24.895563953861,-10.950976277567,60.485385304349,35.683579992886,35.683579992886,35.683579992886,-10.788016039025,-10.788016039025,-10.788016039025,-10.7880160390251,-10.7880160390251,-10.7880160390251,0,0,0
145,2021-06-30,consumer_price_analysis,ec,2006-05-14,30.086693073370,-2.068317089373,64.239487397725,35.765447067365,35.765447067365,35.765447067365,-5.678753993994,-5.678753993994,-5.678753993994,-5.6787539939945,-5.6787539939945,-5.6787539939945,0,0,0
146,2021-06-30,consumer_price_analysis,ec,2006-05-21,35.328671702127,0.301831397385,69.005965878344,35.847314141843,35.847314141843,35.847314141843,-0.518642439716,-0.518642439716,-0.518642439716,-0.518642439716191,-0.518642439716191,-0.518642439716191,0,0,0
147,2021-06-30,consumer_price_analysis,ec,2006-05-28,40.385144589208,6.447489801252,75.556138316634,35.929181216322,35.929181216322,35.929181216322,4.455963372887,4.455963372887,4.455963372887,4.45596337288688,4.45596337288688,4.45596337288688,0,0,0
148,2021-06-30,consumer_price_analysis,ec,2006-06-04,43.736578313484,6.164326106233,78.800998772909,36.011048290800,36.011048290800,36.011048290800,7.725530022684,7.725530022684,7.725530022684,7.725530022684,7.725530022684,7.725530022684,0,0,0
149,2021-06-30,consumer_price_analysis,ec,2006-06-11,43.497853091765,9.559811744576,78.565951820204,36.092915365278,36.092915365278,36.092915365278,7.404937726487,7.404937726487,7.404937726487,7.40493772648659,7.40493772648659,7.40493772648659,0,0,0
150,2021-06-30,consumer_price_analysis,ec,2006-06-18,39.752877041459,5.921979439391,76.283305845632,36.174782439757,36.174782439757,36.174782439757,3.578094601702,3.578094601702,3.578094601702,3.57809460170238,3.57809460170238,3.57809460170238,0,0,0
151,2021-06-30,consumer_price_analysis,ec,2006-06-25,35.162017780803,-0.983296969684,71.908216434397,36.256649514235,36.256649514235,36.256649514235,-1.094631733432,-1.094631733432,-1.094631733432,-1.09463173343225,-1.09463173343225,-1.09463173343225,0,0,0
152,2021-06-30,consumer_price_analysis,ec,2006-07-02,32.652668340677,-3.112209277157,65.430619933420,36.338516588714,36.338516588714,36.338516588714,-3.685848248037,-3.685848248037,-3.685848248037,-3.68584824803722,-3.68584824803722,-3.68584824803722,0,0,0
153,2021-06-30,consumer_price_analysis,ec,2006-07-09,32.631607065373,-3.013363372071,67.695301014600,36.420383663192,36.420383663192,36.420383663192,-3.788776597819,-3.788776597819,-3.788776597819,-3.78877659781943,-3.78877659781943,-3.78877659781943,0,0,0
154,2021-06-30,consumer_price_analysis,ec,2006-07-16,32.893078503014,-0.779963097647,66.657766598117,36.502250722322,36.502250722322,36.502250722322,-3.609172219307,-3.609172219307,-3.609172219307,-3.6091722193075,-3.6091722193075,-3.6091722193075,0,0,0
155,2021-06-30,consumer_price_analysis,ec,2006-07-23,31.294538305092,-3.994613419096,67.603525789811,36.584117781451,36.584117781451,36.584117781451,-5.289579476360,-5.289579476360,-5.289579476360,-5.28957947635958,-5.28957947635958,-5.28957947635958,0,0,0
